personal_number,first_name,family_name,age,sex,occupation,activity,partner_personal_number,family_id
5410512,Line,Lindholm,73,Female,True,,3112072,32
4166986,Lennart,Cole,53,Male,True,,4168100,49
9309009,Hanna,Strand,75,Female,True,,4056520,35
3894049,Elsa,Greer-Martinez,13,Female,True,,,202
9770551,Brandon,Andersson-Martin,21,Male,True,,4827827,96
1365813,Timothy,Cervantes-Copeland,9,Male,True,,,118
8849253,Nicole,Persson,33,Female,True,,2706450,53
2880829,Bente,Thorsen,39,Female,True,,6571487,54
8637885,Natalie,Vasquez,28,Female,True,,7825563,55
5805349,Thomas,Lynch,67,Male,True,,7765806,56
2154975,Amy,Pettersson,36,Female,True,,6296308,16
1611658,Line,Harris,28,Female,True,,1082957,57
5532987,Göran,Gill,50,Male,True,,5625183,58
4158945,Tore,Preston-Sæther,17,Male,True,Football,,15
9264093,Jerry,Olsson,66,Male,True,,4871415,25
8053023,Juhani,Andreassen-Rasmussen,12,Male,True,Volleyball,,66
8835629,Jose,Bøe,81,Male,False,,6784255,61
9272169,Tyler,Smith,64,Male,True,,2032660,18
6980830,Michael,Knutsson-Stevens,21,Male,False,,3131129,973
9749432,Jeremiah,Bowman-Harper,2,Male,True,,,1115
1684402,Torill,Thompson,67,Female,True,,4256978,40
9359216,Erik,Karlsson,59,Male,True,,6796169,64
7405182,Aud,Ellingsen,61,Female,False,,6658170,42
7966229,Veronica,Moen,63,Female,False,,2238815,47
4426953,Märta,Andersson-Johansen,12,Female,True,,,414
9517328,Laura,Rasmussen,36,Female,True,,5497043,66
7180542,Magne,Ahmed-Bengtsson,15,Male,True,Volleyball,,616
8089908,Robert,Pettersson,70,Male,True,,2075291,16
1128745,Antonio,Medina,54,Male,True,,5571319,68
2706450,Tommy,Madsen,34,Male,False,,8849253,69
1183679,Cassandra,Ahmed-Wilson,11,Female,True,Football,,171
9469590,Jennifer,Arvidsson,32,Female,True,,1361574,71
6571487,Devin,Nguyen,33,Male,True,,2880829,4
5720167,Victor,Barajas,61,Male,True,,5093553,72
2868729,Stine,Diaz,55,Female,True,,3970859,48
8208435,Robert,Mattsson,72,Male,True,,6255739,73
9018035,Mona,Karlsen,46,Female,True,,5886268,74
4030212,Emily,Mullen-Thompson,15,Female,True,,,512
7765806,Rachael,Lynch,60,Female,True,,5805349,56
4871415,Mary,Olsson,63,Female,True,,9264093,25
7825563,Stig,Brooks,51,Male,True,,8637885,76
2747497,John,Roberson,63,Male,True,,7084286,77
8945253,Gloria,Harris,47,Female,True,,7668022,57
6296308,Lars,Henry,49,Male,True,,2154975,78
1082957,Ivar,Lowery,42,Male,True,,1611658,79
9782187,Janne,Holland-Holm,6,Female,True,Basketball,,322
9034443,Kirsten,Martinsen-Ruud,14,Female,True,,,195
4515361,Ingvar,Carlsson-Göransson,7,Male,True,Basketball,,265
7317127,Sven,Caldwell,55,Male,True,,6310185,83
5497043,Donald,White,32,Male,True,,9517328,84
7874806,Crystal,Lindahl,48,Female,True,,4708664,85
5424937,William,Christensen,74,Male,True,,1470618,86
5926689,Dana,Myhre,26,Female,True,,8194342,87
8724277,Siv,Evans,41,Female,True,,5231538,88
3561486,Erik,Jones,62,Male,True,,1940807,89
8304438,Erika,Jenssen-Sandvik,24,Female,False,,8364244,590
3528691,Kristina,Morris-Rodriguez,12,Female,True,,,290
9151474,Ruth,Baker,29,Female,True,,6843072,92
5751268,Danielle,Henriksen-Jørgensen,19,Female,False,,1416839,111
4302632,Paul,Mcgee,76,Male,True,,1921577,94
6784255,Berit,Bøe,66,Female,True,,8835629,61
2032660,Anna,Smith,55,Female,True,,9272169,18
6796169,Laura,Karlsson,71,Female,True,,9359216,64
2075291,Britta,Pettersson,66,Female,True,,8089908,16
2943059,Eivind,Vega-Wolf,20,Male,False,,9038286,958
5093553,Adriana,Barajas,72,Female,True,,5720167,72
1361574,Anthony,Andersson,50,Male,True,,9469590,96
6255739,Sara,Mattsson,66,Female,True,,8208435,73
7084286,Ida,Roberson,73,Female,True,,2747497,77
5886268,Timothy,Phillips,32,Male,True,,9018035,97
6648447,Erik,Berg-Gustafsson,15,Male,True,Chess,,44
4827827,Emma,Hauge-Holm,24,Female,False,,9770551,322
7668022,Michael,Sundström,42,Male,True,,8945253,99
6310185,Mari,Caldwell,67,Female,True,,7317127,83
5467058,Roy,Persson,70,Male,True,,9355736,53
2499266,Kenneth,Karlsson-Vik,2,Male,True,,,8
4708664,Jerome,Miller,48,Male,True,,7874806,101
8194342,Anthony,Gundersen,42,Male,True,,5926689,102
3131129,Michelle,Eriksen-Le,23,Female,False,,6980830,1098
1623819,Nils,Brekke-Karlsen,15,Male,True,Football,,74
2067410,Angelica,Bakke,34,Female,True,,9193225,105
1470618,Camilla,Christensen,77,Female,True,,5424937,86
1926873,Elizabeth,Fredriksson,33,Female,True,,3961759,106
2096206,Melissa,Gustafsson,48,Female,True,,6059507,44
9747807,Michael,Osborne,59,Male,True,,2718678,107
5231538,Anders,Moses,37,Male,True,,8724277,108
8724876,Gert,Bailey,80,Male,True,,9562122,109
1940807,Charlotte,Jones,79,Female,True,,3561486,89
4768178,Janet,Olsson,26,Female,True,,7371834,25
6843072,Ronald,Carroll,47,Male,True,,9151474,110
6205510,Carol,Henriksen,30,Female,True,,4804325,111
9193225,Magnus,Lewis,29,Male,True,,2067410,112
7626578,Alexander,Holland-Holm,8,Male,True,American football,,322
3961759,Jens,Jones,54,Male,True,,1926873,89
6059507,Roy,Christensen,48,Male,True,,2096206,86
3601710,Sigurd,Garcia-Nelson,9,Male,True,Football,,387
6798247,Ingeborg,Amundsen,28,Female,True,,6520278,114
6613124,Björn,Bakken,74,Male,True,,3648147,115
9038286,Kimberly,Holm-Nygård,25,Female,True,,2943059,782
5104247,Cynthia,Boström-Williams,17,Female,True,Tennis,,140
6119260,Diane,Cervantes,47,Female,True,,7179865,118
2084952,Frank,Cobb,81,Male,True,,4231206,119
9535826,Britt,Karlsson-Rønning,25,Female,True,,2592770,689
1921577,Berit,Mcgee,57,Female,True,,4302632,94
9355736,Lise,Persson,63,Female,True,,5467058,53
2592770,Hans,Allen-Larsson,24,Male,True,,9535826,172
4608476,Terje,Davis,61,Male,True,,9536491,122
7371834,Nils,Howell,37,Male,True,,4768178,123
3116472,Stig,Johnson,55,Male,True,,3687831,124
2718678,Alexa,Osborne,55,Female,True,,9747807,107
5331920,Jill,Östlund,49,Female,True,,7003281,125
5685141,Willie,Eriksson-Holmberg,13,Male,True,Chess,,262
9562122,Danielle,Bailey,68,Female,True,,8724876,109
7781206,Beth,Næss,33,Female,True,,5018694,127
2094451,Lisa,Nilsson-Schultz,20,Female,True,,5257718,233
6650003,Siv,Frey-Olsson,8,Female,True,Tennis,,25
2036086,Anita,Meza,53,Female,True,,2761123,130
3196510,Paul,Green,58,Male,True,,5189225,131
7402271,Maria,Thomas-Vaughn,5,Female,True,,,585
4804325,Birger,Dyer,48,Male,True,,6205510,133
2348376,Karen,Johnson-Lindkvist,24,Female,True,,2823543,633
3648147,Elisabeth,Bakken,56,Female,True,,6613124,115
7837536,Nina,Cox-Garcia,19,Female,False,,4437082,668
1525383,Jonathan,Johansson,58,Male,True,,3571933,17
9519510,Johanna,Bowers,39,Female,True,,8988271,136
4259207,Rasmus,Miller,76,Male,True,,1178215,101
9574328,Patrick,Cooper-Johansson,17,Male,True,Volleyball,,332
6520278,Paul,Lundqvist,35,Male,True,,6798247,138
1890735,Stephanie,Brooks-Craig,15,Female,True,,,870
4231206,Karen,Cobb,75,Female,True,,2084952,119
9536491,Diana,Davis,71,Female,True,,4608476,122
7179865,Christoffer,Williams,26,Male,True,,6119260,140
3687831,Gerd,Johnson,56,Female,True,,3116472,124
7818267,Andreas,Abrahamsson,67,Male,True,,2524224,141
7003281,John,Ellingsen,51,Male,True,,5331920,42
5778798,Gro,Moore,49,Female,True,,7945078,142
6633786,Laila,Amundsen-Carlson,25,Female,True,,8132321,675
1746976,Adrian,Evensen-Karlsson,13,Male,True,American football,,438
5189225,Mari,Green,73,Female,True,,3196510,131
3571933,Maria,Johansson,73,Female,True,,1525383,17
1576538,Kristoffer,Knudsen,55,Male,True,,8279346,145
4389889,Jennifer,Carroll,34,Female,True,,7802906,110
5018694,Jose,Gibbs,35,Male,True,,7781206,146
8843312,Rolf,Eliassen,61,Male,False,,8383705,147
1479995,Raymond,Berge,73,Male,False,,8034648,41
1178215,Gun,Miller,72,Female,True,,4259207,101
2524224,Lindsay,Abrahamsson,64,Female,True,,7818267,141
9867010,Dennis,Flores,55,Male,True,,1995643,148
3977052,Andrea,Martin-Weaver,12,Female,True,Tennis,,570
6620096,Savannah,Madsen-Martin,19,Female,False,,6812880,570
8279346,Sofie,Knudsen,73,Female,True,,1576538,145
6587374,Hege,Rivera,53,Female,True,,9787341,151
7962488,Camilla,Andresen-Karlsson,3,Female,True,,,343
1878690,Jose,Nelson-Shelton,14,Male,True,American football,,950
8383705,Ellen,Eliassen,57,Female,True,,8843312,147
3398491,Alexis,Cohen-Green,2,Female,True,,,543
5257718,Victor,Bäckström-Gustafsson,18,Male,False,Volleyball,2094451,555
2761123,Tobias,Richardson,50,Male,True,,2036086,155
8034648,Briana,Berge,58,Female,True,,1479995,41
1995643,Charlotta,Flores,56,Female,True,,9867010,148
2823543,Johan,Allen-Morris,23,Male,False,,2348376,564
1389621,Larry,Hanson,60,Male,True,,9540964,157
4437082,Vidar,Jenssen-Sandvik,24,Male,False,,7837536,590
8988271,Michael,Larsen,33,Male,True,,9519510,158
9540964,Line,Hanson,62,Female,True,,1389621,157
6116587,Tyler,Mendoza,56,Male,True,,4361680,159
4361680,Silje,Mendoza,69,Female,True,,6116587,159
6449809,Charles,Fredriksson,56,Male,True,,9821396,106
7945078,David,Ødegård,51,Male,True,,5778798,160
8449836,Knut,Holland-Phillips,13,Male,True,,,261
2405312,Julie,Castro,37,Female,True,,1193593,162
4501616,Laura,Gibbs,27,Female,True,,6662279,146
8132321,Gunnar,Larsson-Martinsen,25,Male,True,,6633786,195
2910087,Jan,Gonzalez,80,Male,True,,2236262,164
7802906,Ian,Paulsen,40,Male,True,,4389889,165
9821396,Ann-Charlotte,Fredriksson,72,Female,True,,6449809,106
2236262,Cynthia,Gonzalez,55,Female,True,,2910087,164
2633592,Stig,Nielsen,65,Male,True,,4770631,166
8689994,Monica,Barnes,48,Female,True,,4562227,167
9787341,Stephen,Ochoa,52,Male,True,,6587374,168
7145039,Elise,Miles,47,Female,True,,8865843,169
6812880,Zachary,Davis-Holt,21,Male,True,,6620096,795
9431864,Erik,Wilson,60,Male,True,,7341560,171
1193593,Frank,Larsson,28,Male,True,,2405312,172
6325179,Karin,Brekke-Frye,6,Female,True,Basketball,,279
8362293,Kent,Johnsen,56,Male,True,,3959412,174
9918157,Elsie,Larsson-Perez,20,Female,False,,9478898,172
7458259,Andres,Svendsen,77,Male,True,,4793883,176
4770631,Mari,Nielsen,78,Female,True,,2633592,166
7341560,Erica,Wilson,74,Female,True,,9431864,171
5248131,Torill,Miller,38,Female,True,,7789830,101
1324698,Isabel,Stephenson-Ødegård,4,Female,True,,,160
3222207,Carl,Robinson,75,Male,True,,5739320,178
6491776,Brittany,Johansson,42,Female,True,,3452526,17
8615518,Mark,Johansson,79,Male,True,,5868323,17
1606541,Gösta,Johansson,79,Male,True,,7023061,17
3959412,Kristine,Johnsen,69,Female,True,,8362293,174
6662279,Peter,Larsson,30,Male,True,,4501616,172
3127297,Jenna,Salinas,39,Female,True,,3880616,179
4793883,Susan,Svendsen,69,Female,True,,7458259,176
3848791,Tina,Kennedy,32,Female,False,,1151691,180
9478898,Timothy,Dyer-Rice,19,Male,False,,9918157,749
7467586,Helene,Smith,51,Female,True,,6462363,18
5086863,Hans,Wallin,76,Male,True,,5769914,182
4942707,Richard,Hedberg,59,Male,True,,7383497,183
4562227,Einar,Strøm,51,Male,True,,8689994,184
2669938,Elizabeth,Harding-Karlsson,14,Female,True,American football,,398
8865843,Juhani,Samuelsson,54,Male,True,,7145039,186
6374676,James,Thompson,81,Male,True,,3774160,40
4416457,Christer,Abrahamsson-Smith,17,Male,True,American football,,18
7789830,Gustav,Andreassen,48,Male,True,,5248131,188
2522089,Kevin,Knudsen,71,Male,True,,2866850,145
5739320,Sheila,Robinson,61,Female,True,,3222207,178
5868323,Michelle,Johansson,59,Female,True,,8615518,17
7023061,Terri,Johansson,59,Female,True,,1606541,17
9996227,Linda,Eliasson,36,Female,True,,4165686,189
9045519,Ingrid,Bailey,30,Female,True,,8686650,109
5769914,Maria,Wallin,66,Female,True,,5086863,182
7383497,Christy,Hedberg,66,Female,True,,4942707,183
9549430,Trond,Copeland,70,Male,True,,7823153,190
3774160,Viktoria,Thompson,74,Female,True,,6374676,40
3452526,Geir,Pedersen,48,Male,True,,6491776,191
4030368,Stephanie,Hanssen,47,Female,True,,5307829,192
8399854,Harald,Fredriksen,65,Male,True,,8707707,193
7550421,Emil,Olofsson,56,Male,True,,3438525,194
2866850,Siv,Knudsen,59,Female,True,,2522089,145
7823153,Kerstin,Copeland,65,Female,True,,9549430,190
8707707,Doris,Fredriksen,72,Female,True,,8399854,193
7156634,Linn,Martinsen,34,Female,True,,4073033,195
3880616,Anders,Thomassen,38,Male,True,,3127297,196
3830360,Randy,Kim-Lilja,13,Male,True,American football,,255
9832477,Gro,Persson,52,Female,True,,7106852,53
5927289,Catherine,Andersson-Gustafsson,8,Female,True,Football,,44
3129313,Anita,Robles,45,Female,True,,9642573,199
9432102,Ashley,Åström,50,Female,True,,5254770,200
1151691,Henry,Guerrero,29,Male,True,,3848791,201
7636623,Anna,Martinez,53,Female,True,,1333028,202
8617734,Birger,Anderson-Zimmerman,7,Male,True,Basketball,,368
9880409,Inger,Ali-Bradley,8,Female,True,Tennis,,532
3438525,Sierra,Olofsson,67,Female,True,,7550421,194
6462363,Daniel,Becker,37,Male,True,,7467586,205
7894102,Janet,Andersson-Lewis,16,Female,True,Chess,,96
4165686,Marcus,Norberg,49,Male,True,,9996227,207
3698910,Andreas,Aas,63,Male,True,,6113536,208
8412747,Kimberly,Danielsson-Larsson,23,Female,False,,4297825,172
8289190,Eva,Löfgren,54,Female,True,,9728136,210
6313456,Jason,Marsh-Williams,13,Male,True,Chess,,857
9145983,Frank,Blomqvist-Murphy,9,Male,True,Volleyball,,918
8686650,Richard,Myers,49,Male,True,,9045519,212
8242605,Karen,Strand,50,Female,True,,2337577,35
2374759,Douglas,White,55,Male,True,,3968849,84
6113536,Martine,Aas,61,Female,True,,3698910,208
7173353,Kjell,Lundgren,80,Male,True,,6460251,213
5307829,Michael,Mathisen,48,Male,True,,4030368,214
3904204,Gina,Berg,33,Female,True,,7006349,38
1453236,Simen,Brown,65,Male,True,,3931258,215
3676230,Tracy,Karlsson,27,Female,True,,5679032,64
4073033,Knut,Karlsson,43,Male,True,,7156634,64
3055796,Tara,Bøe-Young,12,Female,True,Basketball,,526
4673252,Joakim,Ellingsen-Hopkins,6,Male,True,American football,,42
3968849,Grete,White,79,Female,True,,2374759,84
4802951,Anthony,Lewis,68,Male,True,,1796899,112
2533896,Robert,Danielsson,59,Male,True,,2922405,218
2610220,Anne,Olsson,41,Female,False,,7418573,25
9958738,Monica,Johnson-Strøm,19,Female,False,,9559114,124
4297825,Johannes,Eliasson-Svensson,18,Male,False,Chess,8412747,189
9518476,Sofie,Gustafsson,26,Female,True,,8052637,44
7106852,Göran,Murphy,50,Male,True,,9832477,221
6460251,Julie,Lundgren,60,Female,True,,7173353,213
3135044,Bryan,Garcia,57,Male,True,,5976347,222
4547614,Randi,Andersen,28,Female,True,,5708283,223
3931258,Katrina,Brown,78,Female,True,,1453236,215
1796899,Grethe,Lewis,61,Female,True,,4802951,112
2236346,Jacqueline,Nordström,51,Female,True,,9534197,224
5629987,Leslie,Larsson,54,Female,True,,6866030,172
5224638,Andrea,Åkesson,42,Female,True,,6370996,11
9559114,Jeffrey,Ellis-Mann,25,Male,True,,9958738,794
9642573,Sondre,Bender,36,Male,False,,3129313,226
4792429,John,Reid,63,Male,True,,6752771,227
9054635,Julie,Jonasson-Kristiansen,4,Female,True,,,489
1997839,Steven,Martin-Miller,15,Male,True,Basketball,,570
1511680,Vanessa,Anderson-Singh,9,Female,True,Volleyball,,995
8731950,Per,Johansen-Mejia,8,Male,True,American football,,414
2922405,Joan,Danielsson,69,Female,True,,2533896,218
5976347,Jorunn,Garcia,59,Female,True,,3135044,222
8815690,Natalie,Ruud,46,Female,True,,6567401,232
7669562,Joshua,Carter-Johansson,14,Male,True,,,746
9114514,Morgan,Andersson,47,Female,True,,4366355,96
5254770,Andrew,Brown,46,Male,True,,9432102,215
7410423,Sofie,Evensen-Karlsson,19,Female,False,,4327714,438
1333028,Henrik,Nilsson,43,Male,True,,7636623,233
9728136,Andrew,Greer,40,Male,True,,8289190,234
8636499,Sara,Price,54,Female,True,,5979458,28
6752771,Caroline,Reid,55,Female,False,,4792429,227
9200685,Jørgen,Mccarty-Stephenson,9,Male,True,Basketball,,567
2337577,Charles,Williams,38,Male,True,,8242605,140
7273918,Britt,Barrett,55,Female,True,,6759533,236
7006349,Egil,Gustafsson,48,Male,True,,3904204,44
6759533,Tomas,Barrett,70,Male,True,,7273918,236
5659310,Mary,Aas,56,Female,True,,6706484,208
4327714,Brandon,Flynn-Solberg,19,Male,True,,7410423,259
2812566,Sofia,Gonzalez-Larsson,11,Female,True,Chess,,172
7458593,Sherry,Morales,55,Female,True,,7622429,238
8957736,David,Farley-Sundberg,6,Male,True,Chess,,1108
6845650,Birgitta,Greer,52,Female,True,,1923432,234
1330578,Jean,Olofsson,77,Female,True,,2792834,194
5679032,Christian,Smith,52,Male,True,,3676230,18
7418573,Luis,Johansson,39,Male,True,,2610220,17
6706484,John,Aas,56,Male,True,,5659310,208
8052637,Michael,Dyer,45,Male,True,,9518476,133
5708283,Nils,Osborne,50,Male,True,,4547614,107
3579352,Felicia,Gardner,77,Female,True,,3036193,240
4099033,Samantha,Carlsson,39,Female,True,,3186437,241
7622429,Christoffer,Morales,78,Male,False,,7458593,238
6363972,Sofia,Guzman,73,Female,True,,3094105,242
8020679,Lennart,Dean-Mendez,21,Male,False,,7017652,834
3838736,Nicholas,Flores-Johnson,11,Male,True,Chess,,148
4858256,Berit,Hogan-Löfgren,14,Female,True,Tennis,,210
1514567,Odd,Carter-Johansson,5,Male,True,,,746
5766575,James,Daugherty-Whitaker,13,Male,True,Football,,726
4394410,Åse,Rivera,58,Female,True,,7573039,151
1008942,Lars,Coleman-Graham,11,Male,True,Volleyball,,760
8486651,Mary,Robinson,32,Female,True,,8906096,178
1502906,Veronica,Haug,69,Female,True,,6837160,248
8969055,Thomas,Bowers-Larsen,6,Male,True,Volleyball,,158
2792834,Vegard,Olofsson,66,Male,True,,1330578,194
9534197,Colin,Eriksson,29,Male,True,,2236346,249
8841355,Karl,Gay-Olofsson,15,Male,True,Tennis,,1142
3036193,Daniel,Gardner,59,Male,True,,3579352,240
9312259,Caitlyn,Johannessen,55,Female,True,,4216059,251
3094105,Chase,Guzman,71,Male,True,,6363972,242
7573039,Trond,Rivera,61,Male,True,,4394410,151
5649460,Kjersti,Hansson,66,Female,True,,1335066,252
7569678,Anne,Dalton,29,Female,True,,7011286,253
8593890,Miguel,Ellis-Eriksson,20,Male,True,,2075095,43
6837160,Donald,Haug,62,Male,True,,1502906,248
4216059,Alexander,Johannessen,66,Male,True,,9312259,251
1335066,John,Hansson,81,Male,True,,5649460,252
6866030,Johannes,Cole,41,Male,True,,5629987,49
6370996,Charles,Gundersen,38,Male,True,,5224638,102
1662092,Åke,Medina,64,Male,True,,3602701,68
4078605,Hanna,Kim,35,Female,True,,4972750,255
5526364,Erik,Karlsson,76,Male,True,,5568297,64
6940599,Trond,Bengtsson,70,Male,True,,7790066,256
6567401,Michael,Franco,43,Male,True,,8815690,257
2915066,Karl,Karlsson,62,Male,True,,7480638,64
3602701,Hilde,Medina,62,Female,True,,1662092,68
6503504,Jennifer,Jansson-Pedersen,14,Female,True,Tennis,,191
5568297,Inger,Karlsson,73,Female,True,,5526364,64
4391723,Kristin,Christensen,48,Female,True,,4641340,86
7790066,Eva,Bengtsson,67,Female,True,,6940599,256
4366355,Kristian,Solberg,32,Male,True,,9114514,259
7480638,Ann,Karlsson,73,Female,True,,2915066,64
5780439,Susan,Pettersson,39,Female,True,,1314566,16
4132270,Hans,Næss-Williams,3,Male,True,,,140
1774910,Nathan,Holland,73,Male,True,,9073521,261
8482205,Eva,Claesson-Fredriksen,13,Female,True,Tennis,,669
5979458,Nicholas,Larsson,32,Male,True,,8636499,172
5569242,William,Hagen,77,Male,True,,3821540,36
9073521,Dawn,Holland,77,Female,True,,1774910,261
8392838,Anna,Holmberg,52,Female,True,,6865995,262
8866367,William,Zamora,55,Male,True,,3903721,263
1923432,Christer,Weeks,44,Male,True,,6845650,264
3186437,John,Göransson,30,Male,True,,4099033,265
6958284,Cynthia,Jones,33,Female,True,,6603323,89
3821540,Kendra,Hagen,57,Female,True,,5569242,36
8871490,Sebastian,Martinez,62,Male,True,,6996455,202
3903721,Katherine,Zamora,65,Female,True,,8866367,263
6996455,Amy,Martinez,65,Female,False,,8871490,202
8149149,Erik,Jones-Strøm,13,Male,True,Volleyball,,89
5008140,Debbie,Svendsen,47,Female,True,,6276763,176
5903337,Xavier,Franco-Johansson,10,Male,True,Basketball,,257
8906096,Eirik,Clark,50,Male,True,,8486651,268
5298379,Gunnel,Miller,43,Female,True,,3742463,101
8825778,Bruce,Persson,72,Male,True,,2203298,53
3275625,Emilie,Vik,36,Female,True,,7798553,8
5288029,Åke,Carroll-Johnson,15,Male,True,Volleyball,,110
1419038,Krystal,Cohen-Green,17,Female,True,,,543
2203298,Lori,Persson,63,Female,True,,8825778,53
7011286,Ola,Williams,54,Male,True,,7569678,140
4432099,Tove,Aguirre-Persson,14,Female,True,Football,,399
3730298,Sebastian,Fletcher-Weber,12,Male,True,,,448
2021351,Christina,Flowers,59,Female,True,,5364292,272
2596046,Viola,Persson-Wright,11,Female,True,Basketball,,53
5364292,Jörgen,Flowers,67,Male,True,,2021351,272
4884254,Bridget,Jensen,59,Female,True,,9651492,274
1929755,Janice,Kim-Thomassen,12,Female,True,American football,,196
2144217,Jeffrey,Andersson-Berge,12,Male,True,Volleyball,,96
9651492,Austin,Jensen,81,Male,True,,4884254,274
4972750,Brian,Meyer,38,Male,True,,4078605,277
4641340,Scott,Axelsson,38,Male,True,,4391723,278
7218744,Christina,Brekke,66,Female,True,,9202911,279
9202911,Rick,Brekke,77,Male,True,,7218744,279
8619339,Anna,Oconnell,81,Female,True,,3292944,280
3292944,Anthony,Oconnell,62,Male,True,,8619339,280
1305871,Mallory,Sparks,38,Female,True,,9756673,281
7028082,Edward,Brock-Karlsson,12,Male,True,Football,,1003
9150588,Tommy,Nguyen,64,Male,True,,8719308,4
1314566,Eric,Washington,51,Male,True,,5780439,283
6865995,Larry,Hardin,42,Male,True,,8392838,284
9944392,Robert,Caldwell,74,Male,True,,9808089,83
7074164,Anthony,Bøe-Svärd,15,Male,True,Volleyball,,61
8320532,Ingrid,Wolfe,47,Female,True,,5941095,286
8021764,Misty,Fredriksen-Jørgensen,4,Female,True,,,786
5760955,Janne,Karlsson,45,Female,True,,1135987,64
4347931,Grete,Fredriksson-Mills,10,Female,True,,,418
9755985,Karl,Ellingsen-Park,15,Male,True,Tennis,,379
1993167,Kenneth,Coleman-Graham,15,Male,True,Volleyball,,760
5897856,Russell,Parrish,56,Male,True,,2236163,287
7470515,Ronald,Eliasson,62,Male,True,,3531882,189
6603323,Kevin,Persson,52,Male,True,,6958284,53
8719308,Eva,Nguyen,79,Female,True,,9150588,4
7051449,Melissa,Larsson,38,Female,True,,3530320,172
2856338,Lena,Karlsson,29,Female,True,,1600295,64
9808089,Courtney,Caldwell,70,Female,True,,9944392,83
6646367,Bjørn,Danielsen-Olson,23,Male,False,,5338153,1006
9708961,John,Johansson,79,Male,True,,6512445,17
3847529,Roar,Bakken-Mathisen,4,Male,True,,,214
5358838,Arvid,Rodriguez,79,Male,True,,8252452,290
5135861,Kevin,Jonsson-Karlsson,8,Male,True,Basketball,,527
2236163,Alyssa,Parrish,72,Female,True,,5897856,287
6276763,James,Haugen,49,Male,True,,5008140,292
3531882,Helene,Eliasson,82,Female,True,,7470515,189
9113123,Emelie,Reed-Solheim,11,Female,True,Volleyball,,949
8857103,Patricia,Næss,50,Female,True,,6811437,127
6512445,Sara,Johansson,79,Female,True,,9708961,17
3743297,Hannah,Davis,49,Female,True,,8597498,122
8252452,Meredith,Rodriguez,55,Female,True,,5358838,290
3349187,Nicholas,Andersson,59,Male,True,,1454738,96
