household_id,personal_number
358,8599011
358,6465198
359,9604966
359,4048096
360,5149025
360,5189295
361,4254639
361,3340820
362,7328369
362,7773617
363,6606588
363,5561819
364,6430668
364,4215443
365,7084385
365,8531461
366,1940290
366,8138583
367,5422461
367,6141185
368,4264676
368,7021543
369,2888794
369,9144155
370,3057981
370,6022334
371,3469830
371,6138498
372,2623724
372,6588938
373,3250301
373,5647386
374,9907004
374,2204353
375,7506055
375,4517417
376,5927673
376,1887854
377,3263185
377,2193874
378,1742264
378,7581223
379,5140720
379,8930041
380,2305939
380,9778439
381,5212493
381,5831983
382,1010289
382,2054997
383,2055549
383,9910432
384,3999734
384,3274034
385,4573697
385,2743193
386,7379476
386,9179276
387,4995575
387,2379623
388,6736751
388,5274216
389,7322677
389,1005176
390,2844921
390,4997663
391,8758814
391,9504497
392,5116505
392,8766245
393,7236345
393,1571008
394,7413886
394,8741271
395,5213458
395,4991090
396,8803739
396,6480925
397,1052656
397,2169974
398,3205966
398,7712700
399,3051860
399,7547553
400,4057922
400,5124014
401,6978236
401,9782886
402,7904699
402,6260848
403,9439017
403,7721094
404,7140819
404,1580528
405,1202256
405,6191954
406,8824474
406,6158756
407,5945479
407,8327277
408,3571629
408,5149320
409,7303198
409,9533997
410,1243902
410,3644755
411,3242632
411,2975861
412,9996502
412,9009536
413,5757306
413,4289307
414,3329992
414,6324121
415,5403999
415,9940751
416,6007096
416,3817248
417,9591338
417,3787456
418,4149006
418,8522020
419,5233440
419,6787973
420,6247113
420,1174131
421,7642289
421,3825783
422,8476181
422,9647437
423,6668148
423,6560321
424,9403462
424,5124435
425,6196369
425,9966283
426,6337921
426,4983193
427,9473207
427,2724406
428,4083680
428,1352598
429,1656448
429,8267596
430,5968358
430,1502759
431,9537018
431,2085678
432,5450566
432,3791654
433,9364537
433,9763712
434,8316764
434,7199275
435,6085850
435,9586039
436,3630581
436,1803448
437,5322622
437,7149090
438,3473839
438,3510826
439,8244114
439,6680552
440,2527373
440,2734754
441,1566998
441,2639802
442,1721549
442,9815561
443,9145724
443,9971044
444,1320631
444,1542591
445,8209168
445,5420967
446,9083425
446,2364715
447,8973940
447,7981771
448,8937275
448,2623101
449,1585994
449,9776016
450,7248843
450,3453432
451,8824765
451,6344796
452,3989595
452,1890672
453,1268563
453,5760667
454,4627701
454,7916289
455,8632705
455,2633482
456,1319261
456,2723303
457,4715689
457,1802116
458,6163459
458,2065516
459,1477267
459,8837433
460,9939794
460,8886340
461,2173404
461,8242053
462,4988879
462,2037579
463,4466790
463,4078196
464,4223372
464,4742022
465,3138287
465,2047056
466,9539716
466,5946176
467,9477445
467,1973066
468,6702964
468,6003583
469,5345345
469,9199581
470,4167744
470,1885068
471,1175660
471,9949214
472,3200620
472,2808136
473,4898589
473,6479821
474,5102334
474,1622030
475,1920093
475,8164576
476,2430728
476,8484294
477,8467266
477,1621628
478,9981543
478,3580657
479,4287702
479,2818695
480,6240987
480,7349059
481,8319773
481,4045168
482,8912205
482,5400701
483,6248901
483,1450208
484,2037514
484,3680179
485,3730462
485,3637588
486,3671235
486,5155632
487,3439248
487,8636260
488,2268277
488,5647714
489,7236865
489,2039268
490,6295345
490,6727346
491,8578280
491,6714529
492,8665717
492,2142004
493,5148157
493,8740757
494,5708683
494,5369278
495,9288210
495,2034160
496,3029569
496,1890886
497,1214397
497,9014338
498,2560097
498,7314613
499,7475242
499,1666403
500,5483130
500,7453529
501,5973994
501,8217974
502,4052132
502,4945869
503,5957422
503,6138001
504,1364582
504,9223800
505,6252316
505,2111946
506,9446747
506,9556664
507,6461281
507,4103628
508,4954375
508,2813501
509,3418359
509,4060260
510,7341786
510,6473464
511,3142526
511,4782883
512,8937428
512,4412261
513,3058280
513,7732416
514,3860350
514,1343284
515,8314343
515,2528251
516,7977533
516,9429877
517,3742951
517,2073805
518,1264099
518,6174469
519,6299079
519,8977379
520,3442042
520,3996247
521,5751454
521,2906444
522,1363168
522,7118424
523,6378023
523,8040973
524,7699036
524,1370973
525,3046892
525,2812297
526,6109698
526,3982621
527,3437962
527,9827537
528,9531808
528,9805661
529,7821747
529,6973587
530,8512043
530,3503568
531,4578546
531,7387185
532,2023379
532,6408111
533,6937384
533,7182937
534,5272964
534,7838853
535,6831148
535,7953391
536,5611427
536,6272324
537,9253037
537,4303257
538,8241661
538,2258223
539,5425316
539,3010354
540,8974245
540,9397263
541,1913982
541,4034415
542,6857375
542,7496899
543,9279978
543,5652510
544,6697407
544,5696974
545,5400095
545,3465361
546,6375501
546,5052246
547,6154498
547,2264985
548,6378163
548,3147355
549,8456567
549,5510482
550,7692918
550,2282677
551,5433207
551,6592315
552,9918450
552,7906345
553,6215529
553,6793205
554,1065666
554,6922423
555,8304998
555,1735868
556,9487392
556,4795139
557,7488841
557,4478990
558,7430885
558,6387289
559,7542702
559,3084933
560,6816637
560,3769995
561,6335407
561,5611095
562,1632512
562,4373011
563,9246618
563,9395656
564,6161137
564,6894984
565,6908815
565,6610677
566,3897206
566,3172049
567,4004642
567,7329399
568,5318074
568,6164615
569,9343508
569,7521380
570,6041193
570,1158353
571,2068357
571,7927065
572,5351847
572,4800740
573,1043131
573,9239519
574,8822930
574,6609249
575,2534329
575,7461515
576,8020562
576,4583715
577,7641091
577,9206029
578,1073163
578,6770436
579,5483951
579,4080838
580,7615778
580,2944658
581,4627119
581,9399890
582,7544294
582,1822164
583,6568669
583,7489960
584,7390509
584,2803707
585,7170449
585,9007287
586,4458777
586,7346064
587,4173710
587,8865581
588,8364035
588,4767960
589,6204954
589,2630657
590,2971684
590,2089280
591,8226787
591,8522564
592,5867956
592,9581806
593,1511375
593,8190492
594,2079321
594,8729558
595,4517603
595,1628485
596,8019936
596,2276730
597,4640349
597,3470672
598,9334896
598,7206168
599,8370069
599,7840349
600,7328672
600,4271667
601,6185241
601,3234959
602,4708542
602,6871878
603,6175002
603,7852248
604,6651618
604,1766685
605,8606881
605,1585945
606,3038570
606,8471741
607,8084432
607,4489402
608,3408627
608,1167547
609,4632196
609,9648919
610,8831071
610,1933105
611,1105231
611,2965868
612,9401852
612,6398405
613,9152137
613,2118093
614,4784491
614,5473821
615,8075656
615,5546658
616,1544836
616,3803965
617,5109898
617,3252668
618,5816247
618,5524486
619,2472445
619,8712747
620,9356451
620,6651795
621,3829373
621,8029313
622,4314543
622,3385449
623,2146743
623,1773900
624,4424253
624,5515778
625,5306238
625,6886574
626,6230791
626,8168708
627,9404276
627,1070795
628,3250279
628,9139245
629,6500281
629,3031012
630,8949786
630,2539097
631,5029972
631,9681624
632,2074528
632,6854920
633,5047047
633,8714348
634,2451015
634,3242576
635,9282462
635,2294931
636,9179634
636,8380377
637,7226793
637,7842810
638,6390044
638,9204112
639,1904162
639,8093855
640,8011504
640,8834248
641,9223769
641,7928448
642,7331448
642,7379696
643,8288260
643,3730028
644,9854045
644,9791638
645,7852054
645,6609290
646,3935254
646,7335334
647,4379679
647,8037992
648,9979313
648,9081489
649,4910119
649,4943141
650,6799756
650,5747996
651,5578958
651,5863387
652,3892722
652,5383288
653,3496975
653,3540277
654,5899402
654,5505979
655,6606775
655,3346849
656,8495665
656,5607807
657,2886494
657,1190097
658,9676866
658,3753389
659,6157799
659,5679854
660,7055291
660,2634185
661,9555794
661,4233325
662,8464443
662,9091028
663,6677346
663,8551181
664,5420086
664,9739595
665,1694346
665,7061467
666,3603002
666,2864297
667,5817417
667,7906703
668,6843395
668,8237068
669,8351211
669,4390136
670,8641491
670,6620420
671,1531982
671,2414924
672,8743624
672,1380877
673,3139326
673,6376008
674,9817535
674,4283479
675,1306329
675,3309852
676,2891371
676,3371088
677,8348182
677,4164622
678,2959129
678,8310815
679,5310414
679,8765595
680,6605954
680,9751392
681,7085217
681,7250003
682,1881659
682,6272227
683,5433571
683,4013798
684,2654138
684,5348127
685,4336715
685,8554160
686,9716381
686,3524089
687,2720767
687,8858127
688,8319434
688,5419293
689,4844355
689,8683588
690,9780032
690,7619797
691,7938908
691,2290881
692,2785591
692,9114978
693,6789349
693,5927749
694,1059172
694,9032846
695,8874518
695,8487764
696,1228000
696,7232634
697,4148949
697,5146139
698,4409773
698,7404195
699,3898177
699,4180244
700,2094660
700,9939258
701,6596162
701,4743223
702,6056778
702,5509148
703,6023490
703,8065148
704,3785852
704,2783947
705,6937251
705,3208380
706,4249261
706,8072813
707,7715375
707,2083842
708,3112222
708,1026581
709,8099849
709,4674162
710,3014868
710,2173706
711,1493443
711,6140662
712,5240625
712,2735723
713,3974184
713,6378290
714,5935701
714,2397610
715,1993493
715,9721681
716,2388116
716,2600701
717,6584823
717,8424619
718,9168085
718,1940591
719,7312705
719,5318842
720,1033807
720,3671641
721,9205451
721,7084261
722,4748669
722,2605414
723,2540165
723,3767322
724,5647110
724,3084241
725,4031195
725,1925510
726,3027721
726,6893555
727,8538999
727,3355095
728,1368542
728,7203416
729,7831372
729,1095894
730,7190582
730,1520841
731,8124179
731,2574184
732,5256693
732,6916354
733,6014120
733,9221354
734,1113924
734,8142278
735,2540061
735,9241794
736,9926632
736,4024383
737,1953262
737,8763166
738,4268463
738,8715202
739,8976747
739,7719942
740,4475584
740,3491718
741,5565807
741,5680360
742,2378396
742,8085059
743,1233435
743,3082044
744,4833336
744,2044563
745,6731075
745,3205439
746,1841274
746,7173566
747,8631770
747,3745709
748,2822489
748,6715788
749,8260796
749,1113577
750,8297457
750,4402725
751,7674359
751,7429347
752,3141842
752,2145273
753,1805568
753,3719943
754,4291698
754,6556935
755,7465159
755,8925084
756,6282506
756,2862581
757,1635721
757,3293640
758,8528497
758,1660088
759,1427584
759,3203108
760,9578868
760,9553109
761,3699534
761,7273563
762,4657028
762,8415970
763,2084615
763,8374969
764,6504967
764,9412712
765,8119736
765,3889754
766,7997093
766,4742755
767,4949377
767,9227002
768,9370989
768,3410470
769,2638229
769,1241756
770,1451650
770,3931240
771,7626711
771,7191906
772,9131679
772,4689661
773,4874117
773,4097285
774,5310693
774,6648772
775,3999318
775,1921592
776,9735130
776,9343979
777,1894442
777,9320930
778,4798888
778,3905782
779,7926612
779,3794248
780,4840251
780,3473312
781,1329149
781,9901876
782,8802987
782,2065582
783,6223301
783,4175483
784,9438038
784,4397344
785,1708936
785,9578602
786,1134305
786,3302269
787,7790062
787,2765673
788,2895789
788,8360989
789,4075452
789,5539749
790,1119164
790,2543508
791,2156522
791,9586108
792,8392925
792,3385053
793,8937844
793,7636358
794,1818705
794,4301960
795,1017329
795,2125271
796,6269472
796,5266458
797,7340078
797,5074913
798,1945686
798,1939077
799,3670002
799,3079123
800,1322503
800,4604365
801,6226800
801,6678202
802,3176362
802,9355388
803,7035140
803,5714453
804,4736003
804,9527174
805,3437132
805,7965567
806,8783240
806,4852810
807,8186232
807,8128216
808,5286263
808,4551505
809,5141359
809,6249470
810,8376555
810,9974010
811,7766722
811,2784775
812,8024499
812,8541780
813,9604834
813,8542513
814,6715946
814,1431960
815,8324720
815,3879506
816,2399200
816,9933908
817,8178895
817,7924463
818,5210714
818,1719384
819,3652950
819,8622802
820,5807265
820,5694779
821,6177906
821,2737836
822,6946729
822,3289847
823,8603358
823,5782383
824,1373774
824,4092843
825,1638971
825,4493845
826,1310941
826,2261507
827,6110694
827,3006346
828,3404987
828,4555823
829,4436039
829,5801137
830,8222279
830,6253820
831,8956250
831,4678056
832,6888106
832,4369952
833,3100033
833,1481128
834,4983836
834,1323480
835,8609109
835,3199674
836,9157312
836,7507828
837,2219951
837,2313754
838,9419191
838,9938599
839,7098092
839,6416546
840,8659782
840,6661827
841,1227652
841,6923300
842,7564569
842,9103096
843,8773601
843,9261428
844,1305418
844,4002977
845,2800281
845,5084937
846,1485638
846,7389862
847,4730101
847,8245800
848,6122500
848,4546263
849,6274682
849,2244500
850,6145677
850,3700691
851,8597140
851,8363509
852,8495690
852,9511373
853,7824064
853,6469748
854,6237049
854,7522431
855,7251301
855,4947998
856,9527712
856,3076760
857,6169750
857,9179504
858,6998664
858,1799222
859,7838224
859,8052944
860,6347605
860,6227917
861,2666633
861,2726814
862,3150987
862,4287277
863,5978484
863,6676443
864,8107976
864,5417433
865,9568711
865,2122063
866,3683260
866,1034502
867,1484555
867,7289587
868,4415663
868,9391717
869,6067947
869,1475481
870,3831520
870,4386684
871,6754671
871,3076189
872,6617426
872,4364126
873,2427277
873,4154537
874,3107631
874,3499294
875,1449375
875,9926200
876,5179908
876,7008674
877,1076709
877,1036674
878,9942775
878,7326373
879,9889969
879,2957312
880,6274296
880,2109433
881,1825205
881,1822420
882,5179251
882,9472267
883,4206160
883,8657499
884,1453492
884,8115885
885,5260687
885,8650960
886,3373758
886,4537901
887,7510157
887,5143968
888,5278780
888,1321963
889,6071313
889,5352198
890,6077319
890,7576635
891,8567304
891,9571968
892,2917188
892,7734794
893,9631105
893,5254586
894,1217609
894,9989096
895,7134805
895,9356353
896,6811621
896,5778471
897,2374269
897,8760895
898,5823657
898,4036664
899,8882507
899,8350337
900,2918625
900,1794223
901,5922151
901,5818722
902,7941920
902,9397524
903,2307949
903,8583315
904,9468452
904,1621799
905,5214532
905,1389774
906,6833469
906,2983080
907,6823869
907,3682692
908,1148886
908,8773356
909,9642034
909,7959716
910,8757297
910,4112898
911,3362326
911,1659947
912,1708010
912,6409983
913,8491618
913,8505049
914,9477782
914,5135348
915,3662069
915,3802412
916,8381401
916,5944917
917,2638716
917,8284577
918,8185589
918,9524822
919,5031080
919,2419011
920,4103602
920,7975411
921,2156894
921,6257923
922,8385711
922,8538473
923,1760358
923,3568184
924,1731338
924,2813848
925,6521287
925,8764741
926,8361392
926,5881342
927,8915678
927,6536683
928,8722992
928,7586482
929,8674905
929,5713530
930,4451844
930,6761179
931,3065119
931,9321198
932,7379988
932,3250474
933,5340811
933,4388917
934,7155023
934,4816419
935,3234865
935,4985908
936,8094361
936,7176412
937,5547608
937,6575829
938,3749225
938,3192642
939,4178236
939,5295533
940,7913440
940,9499198
941,4786366
941,4086591
942,5826018
942,7831257
943,9515831
943,3518411
944,1492970
944,6069996
945,7322818
945,7536456
946,9202965
946,9218441
947,7461342
947,6201887
948,3696458
948,3972798
949,8738759
949,9011718
950,6079147
950,3282141
951,3411830
951,3972549
952,9581585
952,9434459
953,4250938
953,4017923
954,8074635
954,1221220
955,8125314
955,2446821
956,7192751
956,7238475
957,5291170
957,6963833
958,4380134
958,5786187
959,9202888
959,9900130
960,7027332
960,6937595
961,4261072
961,6989825
962,7972146
962,6540149
963,7969812
963,2121398
964,1729482
964,7427656
965,9670420
965,8223279
966,9889943
966,9382470
967,6849297
967,9998378
968,8608187
968,3385927
969,6324455
969,7173143
970,1731061
970,3851394
971,7578044
971,8496472
972,2658854
972,6729436
973,3169628
973,7020945
974,5574647
974,7946323
975,7445910
975,7137641
976,6989474
976,8445608
977,6741319
977,3042083
978,3302389
978,5554575
979,7004210
979,4788703
980,1890180
980,1773679
981,3341101
981,3538924
982,5894371
982,1498076
983,2968846
983,2448659
984,9837570
984,5920792
985,4699912
985,5170520
986,9169754
986,8822207
987,4650389
987,6107092
988,3085199
988,1918066
989,1462965
989,5324655
990,5706912
990,1546416
991,5995154
991,2351444
992,9223267
992,8301461
993,7098242
993,2802897
994,2704999
994,3340375
995,6605230
995,5599768
996,1577620
996,1488701
997,8281646
997,5038306
998,5834993
998,3872169
999,9046121
999,7609276
1000,6326307
1000,5800539
1001,6109587
1001,6960961
1002,4577615
1002,4541793
1003,7425353
1003,7886130
1004,1052844
1004,7046803
1005,8652295
1005,9382253
1006,2133552
1006,1752496
1007,9867192
1007,1517377
1008,6856386
1008,9343349
1009,4213472
1009,5954163
1010,8159539
1010,2621116
1011,1307137
1011,5443807
1012,2473721
1012,6023349
1013,3768281
1013,3540361
1014,2745003
1014,8827196
1015,8836361
1015,8097604
1016,8315571
1016,2483932
1017,9041311
1017,2350750
1018,3265887
1018,5466978
1019,7073610
1019,1883594
1020,6421957
1020,7613787
1021,1817153
1021,1760516
1022,7984174
1022,2652662
1023,6558845
1023,9246267
1024,9982514
1024,2979262
1025,3198311
1025,4994352
1026,5671248
1026,4962394
1027,3526355
1027,4810137
1028,3420764
1028,2968110
1029,7850595
1029,2111794
1030,3035932
1030,2540213
1031,9104253
1031,3409699
1032,7577638
1032,5908087
1033,8310677
1033,7793308
1034,6964717
1034,8435914
1035,2085985
1035,1485411
1036,5188723
1036,8177112
1037,9842412
1037,6915976
1038,7758949
1038,2544616
1039,1986481
1039,9306264
1040,9197345
1040,2872115
1041,1721978
1041,7651271
1042,8819101
1042,5410535
1043,6870081
1043,7960254
1044,9624418
1044,2614955
1045,2740691
1045,4263071
1046,9085389
1046,8122401
1047,8483411
1047,1448015
1048,2511891
1048,5276547
1049,1284912
1049,6615884
1050,1902877
1050,4662310
1051,3482379
1051,2303463
1052,3656814
1052,6796980
1053,4756739
1053,1482445
1054,1131144
1054,4819098
1055,9660979
1055,2202820
1056,6343881
1056,4474494
1057,6203396
1057,1299181
1058,5963090
1058,5391313
1059,8422671
1059,9134798
1060,4370789
1060,3866807
1061,7431191
1061,5351506
1062,6584061
1062,8705880
1063,3939386
1063,5720345
1064,6581965
1064,9697961
1065,5145231
1065,5946229
1066,5472250
1066,2295757
1067,3028625
1067,5232538
1068,8484385
1068,9253525
1069,8285055
1069,6694200
1070,3980693
1070,6989329
1071,7661611
1071,9135902
1072,2940875
1072,2050707
1073,6427668
1073,2916559
1074,5333035
1074,7995685
1075,5539826
1075,2054194
1076,7469782
1076,4259437
1077,4300771
1077,7760304
1078,2948046
1078,2178001
1079,9368970
1079,7852502
1080,5124850
1080,8454849
1081,3970080
1081,4180567
1082,7184078
1082,9237878
1083,4682635
1083,2263513
1084,9636980
1084,2130764
1085,4513285
1085,6054312
1086,1891397
1086,8170942
1087,4679810
1087,2615026
1088,2779464
1088,5059532
1089,1037829
1089,4533550
1090,4405617
1090,8672012
1091,9364796
1091,6611808
1092,2278485
1092,4525931
1093,1805600
1093,1928814
1094,5163381
1094,5087264
1095,3886110
1095,9505563
1096,8742964
1096,4579904
1097,8435904
1097,9477761
1098,3079796
1098,2567584
1099,5877638
1099,5919529
1100,7477193
1100,9348118
1101,3223493
1101,4695438
1102,8673689
1102,4569604
1103,8461754
1103,6532344
1104,7781639
1104,6592234
1105,6667131
1105,6247657
1106,9474288
1106,5313067
1107,3637219
1107,2577719
1108,5683781
1108,5246407
1109,5151893
1109,5158825
1110,7603983
1110,8648272
1111,4459246
1111,6623848
1112,5348765
1112,9655973
1113,2932443
1113,2788847
1114,5099066
1114,8010598
1115,6811849
1115,5454167
1116,4181990
1116,1903041
1117,9008719
1117,6494876
1118,2759915
1118,9933518
1119,6433132
1119,6951500
1120,1274876
1120,2318033
1121,9361059
1121,2399099
1122,4143910
1122,9460267
1123,7315450
1123,9057105
1124,3979971
1124,1173966
1125,2210306
1125,8885139
1126,1212372
1126,5627197
1127,9656233
1127,2003973
1128,8674951
1128,5410929
1129,9089547
1129,3158786
1130,2210999
1130,4303561
1131,8761967
1131,5958871
1132,8485491
1132,9289555
1133,8691372
1133,6474108
1134,2072425
1134,2314322
1135,2966244
1135,4568013
1136,3811903
1136,4249336
1137,4064500
1137,3204477
1138,6790519
1138,2057068
1139,2364177
1139,8704257
1140,4891402
1140,2558657
1141,6171455
1141,3928687
