parent_personal_number,child_personal_number
1178215,7994347
2524224,5580362
2524224,6697609
2524224,5955910
9867010,5529757
6587374,6027635
6587374,7700887
8383705,8282856
8383705,8562608
8383705,1166181
8383705,1312796
2761123,3805580
2761123,3853569
2761123,3020228
2761123,8827405
8034648,8873329
8034648,8357146
8034648,8357127
1995643,5529757
1389621,4078951
1389621,8053483
1389621,8783880
8988271,8969055
9540964,4078951
9540964,8053483
9540964,8783880
6116587,5228429
6116587,7597661
4361680,5228429
4361680,7597661
6449809,2916434
6449809,6078132
6449809,6740399
6449809,4019227
7945078,1827694
2405312,4325020
2405312,9804217
4501616,1780857
2910087,1994573
2910087,9567880
9821396,2916434
9821396,6078132
9821396,6740399
9821396,4019227
2236262,1994573
2236262,9567880
2633592,2420331
2633592,7998179
2633592,9258826
9787341,6027635
9787341,7700887
7145039,7478753
9431864,5558940
9431864,8145791
1193593,4325020
1193593,9804217
8362293,1530154
8362293,5478940
8362293,1136934
7458259,8073271
7458259,9404542
4770631,2420331
4770631,7998179
4770631,9258826
7341560,5558940
7341560,8145791
5248131,3993904
3222207,8608861
6491776,9894506
6491776,9768355
8615518,6491776
8615518,9073624
8615518,1203955
1606541,5114955
1606541,7678314
3959412,1530154
3959412,5478940
3959412,1136934
6662279,1780857
3127297,9448354
3127297,7830810
3127297,2721095
3127297,3775022
4793883,8073271
4793883,9404542
3848791,5529759
3848791,4252334
3848791,1931180
3848791,3324398
3848791,7261641
3848791,8332892
7467586,8812253
4942707,5809708
4942707,8779235
4942707,9350810
4942707,3286486
4942707,4558112
8865843,7478753
6374676,9357851
6374676,7542495
6374676,1980446
7789830,3993904
2522089,4384619
5739320,8608861
5868323,6491776
5868323,9073624
5868323,1203955
7023061,5114955
7023061,7678314
9996227,3799452
9045519,8772687
7383497,5809708
7383497,8779235
7383497,9350810
7383497,3286486
7383497,4558112
9549430,1891251
9549430,2694888
3774160,9357851
3774160,7542495
3774160,1980446
3452526,9894506
3452526,9768355
4030368,4309079
4030368,1928185
4030368,2259598
4030368,4506951
8399854,5849689
8399854,5095384
8399854,9644476
2866850,4384619
7823153,1891251
7823153,2694888
8707707,5849689
8707707,5095384
8707707,9644476
7156634,9945417
7156634,6983417
3880616,9448354
3880616,7830810
3880616,2721095
3880616,3775022
3129313,5070565
9432102,7306767
1151691,5529759
1151691,4252334
1151691,1931180
1151691,3324398
1151691,7261641
1151691,8332892
6462363,8812253
4165686,3799452
3698910,1232854
3698910,2035552
3698910,7290856
3698910,4785705
8289190,8233664
8289190,5282232
8686650,8772687
8242605,7346716
6113536,1232854
6113536,2035552
6113536,7290856
6113536,4785705
7173353,7997418
5307829,4309079
5307829,1928185
5307829,2259598
5307829,4506951
3904204,3020721
3904204,5907024
3904204,7888866
1453236,8859238
1453236,5340981
3676230,6970661
4073033,9945417
4073033,6983417
4802951,5534287
4802951,9335779
2533896,8786430
2533896,6862524
2533896,8657076
2610220,9840400
2610220,7470974
9518476,2576926
9518476,3270218
6460251,7997418
3135044,9255785
3135044,2999310
3135044,3066423
3135044,5833011
3931258,8859238
3931258,5340981
1796899,5534287
1796899,9335779
5629987,7374185
5224638,8287080
5224638,1161119
9642573,5070565
4792429,9453798
4792429,1688310
4792429,1902035
4792429,9996945
4792429,5515159
2922405,8786430
2922405,6862524
2922405,8657076
5976347,9255785
5976347,2999310
5976347,3066423
5976347,5833011
9114514,3892599
9114514,7149608
5254770,7306767
9728136,8233664
9728136,5282232
8636499,7836108
8636499,2289316
8636499,9014210
6752771,9453798
6752771,1688310
6752771,1902035
6752771,9996945
6752771,5515159
2337577,7346716
7273918,9744488
7273918,9354284
7273918,1325508
7006349,3020721
7006349,5907024
7006349,7888866
6759533,9744488
6759533,9354284
6759533,1325508
5659310,8329136
5659310,5553890
7458593,1439697
6845650,7686206
6845650,7864496
1330578,3997872
5679032,6970661
7418573,9840400
7418573,7470974
6706484,8329136
6706484,5553890
8052637,2576926
8052637,3270218
4099033,4515361
7622429,1439697
6363972,4875545
8486651,8671600
8486651,1614400
8486651,8084689
1502906,5329914
1502906,1056134
2792834,3997872
3094105,4875545
5649460,5922620
5649460,7421056
5649460,1658153
7569678,7293741
7569678,6212952
6837160,5329914
6837160,1056134
1335066,5922620
1335066,7421056
1335066,1658153
6866030,7374185
6370996,8287080
6370996,1161119
1662092,7342161
1662092,5415145
1662092,7203946
5526364,3902351
5526364,6897919
5526364,2324755
6940599,3481591
2915066,9032363
2915066,4468393
2915066,8724510
3602701,7342161
3602701,5415145
3602701,7203946
5568297,3902351
5568297,6897919
5568297,2324755
4391723,5189119
4391723,6738869
7790066,3481591
4366355,3892599
4366355,7149608
7480638,9032363
7480638,4468393
7480638,8724510
5780439,1644634
5780439,7785385
5780439,6083023
1774910,3492756
1774910,2260774
5979458,7836108
5979458,2289316
5979458,9014210
5569242,8272289
5569242,2503949
9073521,3492756
9073521,2260774
8392838,9583322
8866367,8527521
8866367,7839776
1923432,7686206
1923432,7864496
3186437,4515361
6958284,7901547
3821540,8272289
3821540,2503949
8871490,5269282
8871490,5851621
8871490,1213689
8871490,3576665
3903721,8527521
3903721,7839776
6996455,5269282
6996455,5851621
6996455,1213689
6996455,3576665
5008140,5895503
5008140,9437956
5008140,5711313
5008140,6971534
5008140,4251609
8906096,8671600
8906096,1614400
8906096,8084689
5298379,6074442
3275625,8004295
7011286,7293741
7011286,6212952
2021351,5996848
2021351,2868318
5364292,5996848
5364292,2868318
4884254,5931351
4884254,6975623
9651492,5931351
9651492,6975623
4641340,5189119
4641340,6738869
7218744,9730241
7218744,2605893
9202911,9730241
9202911,2605893
8619339,7107852
8619339,2533207
3292944,7107852
3292944,2533207
9150588,8253501
9150588,8262065
9150588,6681880
9150588,4501426
1314566,1644634
1314566,7785385
1314566,6083023
6865995,9583322
9944392,5551686
9944392,8093121
9944392,3177764
8320532,6602321
8320532,6671342
5897856,4587841
5897856,3141056
7470515,6609054
7470515,5767701
6603323,7901547
8719308,8253501
8719308,8262065
8719308,6681880
8719308,4501426
7051449,2969860
7051449,3873720
2856338,5041245
2856338,9819006
9808089,5551686
9808089,8093121
9808089,3177764
9708961,1181588
9708961,7418573
9708961,1897395
9708961,7838849
9708961,4608640
5358838,4091622
2236163,4587841
2236163,3141056
6276763,5895503
6276763,9437956
6276763,5711313
6276763,6971534
6276763,4251609
3531882,6609054
3531882,5767701
8857103,3530379
8857103,7376381
6512445,1181588
6512445,7418573
6512445,1897395
6512445,7838849
6512445,4608640
8252452,4091622
3349187,2324699
3349187,5192163
3349187,3504654
3742463,6074442
1454738,2324699
1454738,5192163
1454738,3504654
3917124,6437897
3917124,7526291
7798553,8004295
6230095,5902348
8916782,2815061
7285741,1710660
4670526,9071253
6741530,3044198
6741530,2034633
6741530,2562636
6741530,9425848
6741530,8234330
5941095,6602321
5941095,6671342
1670568,5902348
4390333,8155125
4390333,9736518
4390333,5607609
9995900,8864505
9995900,6438815
9995900,6254760
9995900,2488438
5172205,8155125
5172205,9736518
5172205,5607609
5182947,4476873
6649308,8864505
6649308,6438815
6649308,6254760
6649308,2488438
3520731,6205510
3520731,1661725
3520731,4280659
3520731,2637498
2823874,6684005
2823874,1534998
3530320,2969860
3530320,3873720
3566083,8916782
5058441,3427588
5058441,8786641
5058441,6886247
5058441,2209578
1600295,5041245
1600295,9819006
5014640,4476873
1539599,6205510
1539599,1661725
1539599,4280659
1539599,2637498
6811437,3530379
6811437,7376381
9447528,8916782
6417102,4354210
6417102,8185154
6417102,9897737
6739853,6437897
6739853,7526291
4793570,2815061
1140959,4326547
1140959,7975560
4208040,2385984
8945396,3427588
8945396,8786641
8945396,6886247
8945396,2209578
4748370,4354210
4748370,8185154
4748370,9897737
6790251,1948685
9456028,2385984
2204541,5571319
2204541,9482145
2204541,1779812
7913485,1710660
9353987,1008673
9353987,5799161
4774208,9071253
5077565,5571319
5077565,9482145
5077565,1779812
1948141,3044198
1948141,2034633
1948141,2562636
1948141,9425848
1948141,8234330
3724115,8251544
3724115,6171644
1182366,1210295
1182366,9438191
8231560,6288214
4895857,6684005
4895857,1534998
4633141,1008673
4633141,5799161
4094556,4326547
4094556,7975560
2655328,5581815
8874497,1948685
1464432,4398394
4496261,9294448
4496261,5679780
4496261,5750398
1478008,8251544
1478008,6171644
1250993,8164463
6782567,1210295
6782567,9438191
9131791,9294448
9131791,5679780
9131791,5750398
9745831,6288214
6030222,8283319
6030222,7234510
8847477,4609722
8847477,9218109
1060192,5581815
7288418,4398394
8357224,1128745
8357224,3912542
8357224,3016183
8357224,7860611
8077702,7956412
8077702,7273874
9115731,8164463
1315035,9276521
1315035,2738616
3406594,4544317
3406594,9297965
4094070,3661967
4094070,2850056
9384715,8283319
9384715,7234510
2933696,4930094
3280909,4972750
3280909,8653410
3280909,9692080
9895239,4609722
9895239,9218109
8580309,6119260
8580309,7922365
8580309,3512479
8580309,3077553
9896684,2063903
2542178,2482922
2542178,3410200
2542178,9382913
2542178,4238966
1613531,7956412
1613531,7273874
5999113,9276521
5999113,2738616
1062795,1468310
6334456,9756673
5071662,1128745
5071662,3912542
5071662,3016183
5071662,7860611
8495080,4544317
8495080,9297965
1970337,2236346
1970337,9857715
1970337,5466847
7521603,3661967
7521603,2850056
8099822,4930094
4053861,4972750
4053861,8653410
4053861,9692080
7141076,2063903
2002037,2482922
2002037,3410200
2002037,9382913
2002037,4238966
7009783,7246572
8730595,1447711
8730595,8044185
8730595,8558913
8730595,9313009
1525902,4100197
2748999,9373744
2748999,1888561
2748999,4980877
5520669,7246572
6609054,2206884
2818936,7241934
2818936,8113506
6075610,2268285
6075610,4868745
6075610,5584119
6837014,5635421
6837014,3340552
4736272,3556681
7192243,2918675
6299438,9755985
6299438,8178394
9472320,1898461
8518252,2206884
7237880,3244739
4362989,6119260
4362989,7922365
4362989,3512479
4362989,3077553
4468356,5087200
4468356,3176625
4468356,7250099
4544759,7241934
4544759,8113506
2367326,1468310
9211150,5435395
7997418,2268285
7997418,4868745
7997418,5584119
2984234,9756673
7967048,2918675
8978515,9755985
8978515,8178394
1135889,2092577
6892996,2414354
6892996,5024748
5594051,2236346
5594051,9857715
5594051,5466847
4632727,1447711
4632727,8044185
4632727,8558913
4632727,9313009
1237682,4100197
8686858,2022020
8686858,7330367
8686858,4245955
1359223,9373744
1359223,1888561
1359223,4980877
5753647,3244739
4556592,5087200
4556592,3176625
4556592,7250099
1410624,4261694
1410624,5264926
7498692,5435395
4985397,9749545
4985397,6448482
5606731,2669938
5606731,1845739
5606731,2031921
5606731,4746886
2045522,7710808
3133117,2414354
3133117,5024748
3923503,4261694
3923503,5264926
1419880,9749545
1419880,6448482
2799184,6090850
2799184,2198520
2009516,6190794
2009516,3787316
2009516,7195332
2611895,5288029
6007131,5635421
6007131,3340552
4051833,7458653
4051833,9602365
4051833,2148249
4051833,5210111
6468583,2669938
6468583,1845739
6468583,2031921
6468583,4746886
1662505,3396418
1662505,6582919
1891251,1365813
1891251,3441331
9615317,5852011
1315570,3556681
4333252,1898461
8956168,2092577
2955438,2022020
2955438,7330367
2955438,4245955
6303967,5366367
6303967,6705478
7280392,8884065
3881774,3838736
9474482,6090850
9474482,2198520
5853889,8198489
2441031,2582385
6421837,4355118
6421837,4524695
1527898,7710808
3238268,6190794
3238268,3787316
3238268,7195332
3540913,8331018
3540913,3190685
5744105,7458653
5744105,9602365
5744105,2148249
5744105,5210111
6508289,5288029
4028887,3396418
4028887,6582919
2572014,6929840
2220521,5366367
2220521,6705478
7068012,5917995
7068012,4721210
3126959,8343322
3126959,6065034
3126959,1139925
1048367,7483095
2246227,1248493
2246227,7830203
2246227,5052675
6973509,8884065
1995911,1365813
1995911,3441331
6247688,4579537
5187808,3096019
5187808,8588082
5187808,4832441
5187808,1310497
5187808,9229247
7405931,8438892
7405931,5585909
3367909,7272663
4671505,5852011
2149722,8198489
7494567,6652264
7494567,2853672
4373573,3838736
4976221,2582385
3603446,6459749
5784061,5609436
5755710,8343322
5755710,6065034
5755710,1139925
4748295,4355118
4748295,4524695
2135045,7351322
2933764,6741530
2933764,2750710
2933764,6534013
9517957,8331018
9517957,3190685
2808372,4579537
1892209,9194482
1892209,1861988
3300708,7156634
5055329,3096019
5055329,8588082
5055329,4832441
5055329,1310497
5055329,9229247
1005031,1033534
1005031,9089330
4477768,5869291
4477768,3167967
9836276,7272663
4956394,6929840
7447765,5917995
7447765,4721210
5335099,6652264
5335099,2853672
9373744,7483095
9339604,8515833
7930392,1248493
7930392,7830203
7930392,5052675
4877718,5609436
9275680,7351322
1527720,8438892
1527720,5585909
1268806,3180378
3139839,6741530
3139839,2750710
3139839,6534013
6516208,9194482
6516208,1861988
9045820,9579888
9045820,3976753
5645772,7156634
1395631,3180378
1569634,5808036
1569634,5493982
1569634,5774954
3144540,6501205
3144540,7990343
3904780,7548281
3904780,9863428
3132192,5304842
3132192,5937823
3132192,3695138
5887605,4038107
5887605,2835117
1387204,9574328
1387204,4783595
1387204,8815639
1387204,2225629
1468310,5876906
1468310,7983679
9917648,2403700
1169982,6459749
8324730,6501205
8324730,7990343
8331428,1033534
8331428,9089330
5513265,6830572
5513265,4276807
5513265,7799701
5513265,4910371
6282320,5869291
6282320,3167967
6581660,6612115
6581660,2224732
6581660,4243251
3351107,2036086
3351107,1747538
3255059,6871685
3255059,8437670
3255059,4553569
3255059,2104124
4057929,5599927
3174898,1751361
3174898,3913704
1024323,1565424
5581815,8116611
6806237,7548281
6806237,9863428
2060527,5304842
2060527,5937823
2060527,3695138
4599800,4038107
4599800,2835117
1641078,9782187
1641078,7626578
1641078,4054718
1641078,1604979
7387063,2119969
7387063,2690479
7860522,1368963
7860522,8384160
7860522,2665889
9451579,6830572
9451579,4276807
9451579,7799701
9451579,4910371
4086250,6712502
4086250,8764151
4086250,5496287
4086250,6263962
7889380,8515833
3951750,8524996
7643439,9579888
7643439,3976753
3093490,5808036
3093490,5493982
3093490,5774954
2167292,2972833
2167292,1778237
1897329,2036086
1897329,1747538
8864505,9574328
8864505,4783595
8864505,8815639
8864505,2225629
4619114,2908752
2214848,3107231
2214848,6352173
2214848,8244854
2214848,6250446
2214848,5746986
5152402,5876906
5152402,7983679
1277410,1565424
8966413,4507668
8966413,7051852
8966413,6478028
8966413,8883353
5151009,2119969
5151009,2690479
6908943,2772221
8302171,6712502
8302171,8764151
8302171,5496287
8302171,6263962
9721179,8524996
8091104,8211506
8091104,5262832
8763333,2403700
3681370,5484212
3681370,1575287
5325181,2972833
5325181,1778237
9660057,8295153
8066113,3107231
8066113,6352173
8066113,8244854
8066113,6250446
8066113,5746986
9527819,4507668
9527819,7051852
9527819,6478028
9527819,8883353
1473128,8335406
4804942,6612115
4804942,2224732
4804942,4243251
3101292,6871685
3101292,8437670
3101292,4553569
3101292,2104124
3455803,8506074
3455803,6052824
3455803,2624482
9503252,5599927
7955443,7802101
1792369,1751361
1792369,3913704
5657051,8116611
5514881,2772221
2501923,3349598
3690684,8211506
3690684,5262832
4887933,2195467
7724783,6381018
7724783,4728598
5670197,1929755
5670197,5446725
5670197,3305583
4765363,5484212
4765363,1575287
6326769,3349598
3492756,9782187
3492756,7626578
3492756,4054718
3492756,1604979
4971476,1368963
4971476,8384160
4971476,2665889
8856241,2854803
8856241,2075095
1256314,6381018
1256314,4728598
9912045,1696526
9912045,7382580
7521094,1696526
7521094,7382580
5585084,9615317
5585084,6266371
5585084,3167980
5585084,9174706
5585084,4843728
9046300,9035056
1783299,9615317
1783299,6266371
1783299,3167980
1783299,9174706
1783299,4843728
3686906,6564658
3686906,8764784
3853389,5968984
3853389,3489218
5849689,4089556
3853935,6564658
3853935,8764784
4543376,4457228
4543376,2455865
9139670,9182495
8786430,2908752
7444116,4086151
7444116,6821657
6610408,4927534
9301446,2354823
9301446,2742476
9301446,4308763
6264088,8295153
7167346,3042744
7167346,8606030
3202325,4086151
3202325,6821657
9575529,6783956
5475880,3212570
2671940,8335406
1073554,8353196
1073554,1788523
1073554,1389324
1073554,2771294
4989717,3042744
4989717,8606030
9051568,6412930
9051568,1721189
9051568,1353435
9051568,2658521
9051568,9678027
9051568,3984368
5979061,8506074
5979061,6052824
5979061,2624482
7894818,8309564
7894818,1179795
9470564,6783956
6358825,6412930
6358825,1721189
6358825,1353435
6358825,2658521
6358825,9678027
6358825,3984368
6033625,8309564
6033625,1179795
7663860,1746232
7663860,5115635
7107852,7802101
6916724,5008739
6916724,5851966
1431192,5008739
1431192,5851966
4716884,1654617
4716884,9660057
4716884,9133702
4716884,5378763
4716884,3252050
4707200,1654617
4707200,9660057
4707200,9133702
4707200,5378763
4707200,3252050
1503992,8781308
1503992,2093420
1503992,2016035
1503992,4862084
7973427,8781308
7973427,2093420
7973427,2016035
7973427,4862084
1711184,1581128
1711184,5825161
1711184,7373078
7656728,7250016
7656728,6853125
9728610,2803576
9728610,4572090
6913002,2195467
8902657,5460793
8902657,7163057
5583745,5563041
5583745,8970488
5583745,8928879
1611992,7109598
3522620,7904084
5812538,4091869
5812538,5961972
7105305,1581128
7105305,5825161
7105305,7373078
3553607,4196773
3553607,2575085
6539906,7250016
6539906,6853125
8920570,5460793
8920570,7163057
8618702,7119554
8618702,1948427
8618702,8142530
4614798,5563041
4614798,8970488
4614798,8928879
7092820,7109598
3674423,1072805
3674423,4441222
4350542,7904084
3443059,1929755
3443059,5446725
3443059,3305583
6389547,6264088
6389547,1724580
6389547,2258145
6389547,8185407
1259124,3224513
1259124,8304077
1834408,7433731
1834408,9854217
3948091,9071535
3948091,2026765
2892286,9248575
2892286,5638901
2892286,3732832
6508322,4196773
6508322,2575085
8023941,6264088
8023941,1724580
8023941,2258145
8023941,8185407
6342675,2002037
6342675,1928757
6342675,4606624
6342675,2318651
6342675,2909793
7258458,3488267
7258458,8698760
4207047,9594900
4207047,3410275
4207047,3245525
1237584,3969745
1237584,5491708
3462186,9254630
7342161,2854803
7342161,2075095
1734380,8621328
1734380,9578889
1734380,3853989
7062029,4150444
6291754,9248575
6291754,5638901
6291754,3732832
1456595,9195678
2664977,3068353
4433172,9035056
5811957,2002037
5811957,1928757
5811957,4606624
5811957,2318651
5811957,2909793
4950756,6291052
4950756,2223855
4950756,5536564
3407380,5968984
3407380,3489218
6083790,3488267
6083790,8698760
3957539,5078324
8187581,4089556
4894030,9594900
4894030,3410275
4894030,3245525
7154817,6962845
7154817,1988248
9859641,6931879
9859641,6413491
8628479,4457228
8628479,2455865
1479761,1556946
5948531,9603805
5948531,6579308
2976229,9182495
2112141,3969745
2112141,5491708
9993615,5399568
9993615,4789077
9993615,3348868
7138372,6525841
7138372,7372672
9687767,4927534
8396207,2354823
8396207,2742476
8396207,4308763
5870941,8166931
5870941,5919043
9895405,2358473
6150726,5309625
9519425,8621328
9519425,9578889
9519425,3853989
9082973,1435141
9082973,6249466
9082973,1866089
9082973,9784177
9082973,8210506
5160077,5385431
5160077,6818276
3249618,4150444
9083650,5898744
9083650,4461276
9083650,1584828
6862524,3212570
1442026,7023788
9147101,6439234
9147101,7896109
9147101,1482287
9147101,7328304
8129939,5812538
5039542,9195678
9796128,6962845
9796128,1988248
6145764,4300569
6145764,8768515
6159375,6931879
6159375,6413491
8657076,7058560
8657076,7919293
2865557,8353196
2865557,1788523
2865557,1389324
2865557,2771294
5159773,9332948
5159773,6658213
9223517,4971476
9223517,2495107
9223517,2157075
7330349,1746232
7330349,5115635
7793629,4711752
7793629,3272615
1918222,1556946
2532129,3969023
2532129,4109072
5337395,9473371
9850036,9395856
1158279,5414250
1158279,9543467
1158279,7900040
1158279,1085761
1564505,9603805
1564505,6579308
1062819,1071699
1062819,6626649
2436491,9181760
9338702,5399568
9338702,4789077
9338702,3348868
2406219,6525841
2406219,7372672
9708235,7936787
9708235,9862413
1062137,1966520
1062137,1404688
4228475,9092460
7785414,2358473
6250285,5309625
2000356,1435141
2000356,6249466
2000356,1866089
2000356,9784177
2000356,8210506
9961129,9403209
9961129,1017920
3639706,5898744
3639706,4461276
3639706,1584828
6215724,9756717
6797081,9517328
6797081,2683920
2235291,6439234
2235291,7896109
2235291,1482287
2235291,7328304
2216675,2803576
2216675,4572090
3698580,2066625
3698580,7124347
8772059,6570484
8772059,7116328
8772059,2595654
3333126,5092017
5690521,8796557
5690521,9686675
5690521,2209836
5690521,5585518
5690521,6267878
4944393,2348376
4944393,9853676
6285495,4091869
6285495,5961972
4641650,4542739
4641650,7098163
4641650,6135431
4641650,6765698
6439234,4340650
7550303,7580201
3661321,9185272
3661321,4897647
5567017,1141895
5532244,5812538
6256245,7119554
6256245,1948427
6256245,8142530
7068123,7009957
3719405,1072805
3719405,4441222
3729992,3224513
3729992,8304077
4770126,9510210
3874328,4300569
3874328,8768515
3220448,7073352
3220448,7029562
3220448,8953255
3220448,2245738
3060050,4971476
3060050,2495107
3060050,2157075
7788077,4711752
7788077,3272615
2821421,5414250
2821421,9543467
2821421,7900040
2821421,1085761
7081674,6366543
3651613,7962488
3651613,3570122
3651613,1511414
3651613,1676113
3651613,2845806
5572250,7789830
5572250,1062819
7108892,1410624
7108892,1868687
8503693,7433731
8503693,9854217
3849582,9181760
8218422,9071535
8218422,2026765
4168708,7936787
4168708,9862413
7949997,6111762
7949997,7900566
3075627,6134339
3075627,8254561
6051914,1966520
6051914,1404688
9158878,9092460
1929308,7132861
1929308,4357766
1929308,3956953
7041709,9726864
7041709,9991506
7041709,9022440
7041709,3927030
7041709,2266199
8940525,9254630
4324623,9403209
4324623,1017920
1195123,8296924
9088809,9517328
9088809,2683920
5756296,3068353
5383451,6981113
5383451,6629538
6701187,9518605
3651850,9728136
3651850,6845650
3651850,7920304
3651850,9840474
3651850,8033527
3651850,8513381
2848983,6570484
2848983,7116328
2848983,2595654
2801030,7179865
2801030,9144183
2801030,2111540
2192429,8796557
2192429,9686675
2192429,2209836
2192429,5585518
2192429,6267878
1659706,9831971
1659706,9680742
6983405,4542739
6983405,7098163
6983405,6135431
6983405,6765698
1185527,7809899
1185527,4156196
1112869,4407001
8645665,1788741
2435642,7580201
5089244,1097080
5089244,8457555
5089244,4591544
5228429,6291052
5228429,2223855
5228429,5536564
8500712,5078324
8331249,9185272
8331249,4897647
4679786,8166931
4679786,5919043
2555611,4101782
8065059,5385431
8065059,6818276
7892470,1141895
8443176,7009957
2022020,7023788
7443610,9318998
7443610,4538890
4083759,2664207
4083759,4568577
4083759,6928900
4132121,7073352
4132121,7029562
4132121,8953255
4132121,2245738
1057028,3899673
1057028,2532273
4354210,3213502
9433995,7058560
9433995,7919293
2211437,9373758
2211437,8918893
2211437,2704878
1435952,7789830
1435952,1062819
2399078,1410624
2399078,1868687
1754249,6111762
1754249,7900566
4062100,9332948
4062100,6658213
7585596,6134339
7585596,8254561
7826904,9726864
7826904,9991506
7826904,9022440
7826904,3927030
7826904,2266199
5878547,3674423
5878547,4699532
5878547,3125155
9484906,6981113
9484906,6629538
8445733,9728136
8445733,6845650
8445733,7920304
8445733,9840474
8445733,8033527
8445733,8513381
3287796,9147420
3287796,9790851
3287796,9774360
3287796,2759982
6075978,3969023
6075978,4109072
2660031,5543307
2660031,9628489
2660031,9859222
3001920,2847939
4518246,1501523
9347965,7179865
9347965,9144183
9347965,2111540
7464387,9831971
7464387,9680742
2886016,5053119
2886016,4748518
2886016,7283326
5649210,9473371
2872805,4407001
3527736,6931645
3527736,3228484
3527736,9187521
3527736,1540532
3527736,3255939
3527736,9929276
3474717,9395856
1710955,6504298
1710955,2532968
2816329,6152298
5198504,9318998
5198504,4538890
1365911,1071699
1365911,6626649
6241791,8193027
6241791,1405530
6241791,1349412
8763090,3674423
8763090,4699532
8763090,3125155
3052879,3152541
5095384,8482205
5095384,1811087
5095384,5496304
1364097,9147420
1364097,9790851
1364097,9774360
1364097,2759982
5706229,5543307
5706229,9628489
5706229,9859222
8293112,9756717
5067418,2066625
5067418,7124347
5133054,8331428
